outlet_id,order_id,order_date,product_id,product_name,category,quantity,unit_price,revenue,discount,promotion_code
OUT002,LOUT002-0011,2026-05-17,P003,Tea Room Shake,Beverage,2,3.15,6.30,0.00,
OUT002,LOUT002-0012,2026-05-28,P003,Tea Room Shake,Beverage,4,3.15,12.60,6.30,PROMO2FOR1
OUT002,LOUT002-0013,2026-05-17,P003,Tea Room Shake,Beverage,4,3.15,12.60,0.00,
OUT002,LOUT002-0014,2026-05-01,P003,Tea Room Shake,Beverage,2,3.15,6.30,0.63,PROMO10
OUT002,LOUT002-0015,2026-05-01,P002,Heritage Fries,Sides,3,2.45,7.35,1.10,PROMO5
OUT002,LOUT002-0016,2026-05-03,P004,Vintage Salad,Salad,2,4.85,9.70,4.85,PROMO2FOR1
OUT002,LOUT002-0017,2026-05-27,P001,Retro Burger,Burger,2,5.95,11.90,1.78,PROMO5
OUT002,LOUT002-0018,2026-05-23,P001,Retro Burger,Burger,2,5.95,11.90,0.00,
OUT002,LOUT002-0019,2026-05-19,P002,Heritage Fries,Sides,3,2.45,7.35,1.10,PROMO5
OUT002,LOUT002-0020,2026-05-22,P001,Retro Burger,Burger,1,5.95,5.95,0.00,
OUT003,LOUT003-0001,2026-05-09,P001,Retro Burger,Burger,3,5.95,17.85,1.79,PROMO10
OUT003,LOUT003-0002,2026-05-26,P001,Retro Burger,Burger,2,5.95,11.90,1.19,PROMO10
OUT003,LOUT003-0003,2026-05-30,P002,Heritage Fries,Sides,1,2.45,2.45,1.23,PROMO2FOR1
OUT003,LOUT003-0004,2026-05-11,P002,Heritage Fries,Sides,3,2.45,7.35,0.00,
OUT003,LOUT003-0005,2026-05-15,P002,Heritage Fries,Sides,2,2.45,4.90,0.73,PROMO5
OUT003,LOUT003-0006,2026-05-24,P001,Retro Burger,Burger,1,5.95,5.95,0.89,PROMO5
OUT003,LOUT003-0007,2026-05-28,P004,Vintage Salad,Salad,2,4.85,9.70,0.00,
OUT003,LOUT003-0008,2026-05-24,P003,Tea Room Shake,Beverage,3,3.15,9.45,1.42,PROMO5
OUT003,LOUT003-0009,2026-05-09,P003,Tea Room Shake,Beverage,1,3.15,3.15,0.47,PROMO5
OUT003,LOUT003-0010,2026-05-17,P002,Heritage Fries,Sides,3,2.45,7.35,0.00,
OUT003,LOUT003-0011,2026-05-19,P003,Tea Room Shake,Beverage,3,3.15,9.45,1.42,PROMO5
OUT003,LOUT003-0012,2026-05-27,P004,Vintage Salad,Salad,4,4.85,19.40,0.00,
OUT003,LOUT003-0013,2026-05-29,P004,Vintage Salad,Salad,3,4.85,14.55,0.00,
OUT003,LOUT003-0014,2026-05-11,P003,Tea Room Shake,Beverage,2,3.15,6.30,0.00,
OUT003,LOUT003-0015,2026-05-12,P003,Tea Room Shake,Beverage,1,3.15,3.15,1.57,PROMO2FOR1
OUT003,LOUT003-0016,2026-05-28,P004,Vintage Salad,Salad,1,4.85,4.85,0.00,
OUT003,LOUT003-0017,2026-05-08,P004,Vintage Salad,Salad,3,4.85,14.55,1.46,PROMO10
OUT003,LOUT003-0018,2026-05-23,P002,Heritage Fries,Sides,4,2.45,9.80,0.98,PROMO10
OUT003,LOUT003-0019,2026-05-11,P003,Tea Room Shake,Beverage,1,3.15,3.15,0.47,PROMO5
OUT003,LOUT003-0020,2026-05-05,P001,Retro Burger,Burger,1,5.95,5.95,0.89,PROMO5
OUT004,LOUT004-0001,2026-05-23,P003,Tea Room Shake,Beverage,1,3.15,3.15,0.47,PROMO5
OUT004,LOUT004-0002,2026-05-28,P004,Vintage Salad,Salad,1,4.85,4.85,0.73,PROMO5
OUT004,LOUT004-0003,2026-05-26,P003,Tea Room Shake,Beverage,2,3.15,6.30,0.00,
OUT004,LOUT004-0004,2026-05-07,P002,Heritage Fries,Sides,1,2.45,2.45,0.37,PROMO5
OUT004,LOUT004-0005,2026-05-08,P003,Tea Room Shake,Beverage,4,3.15,12.60,0.00,
OUT004,LOUT004-0006,2026-05-10,P003,Tea Room Shake,Beverage,1,3.15,3.15,0.47,PROMO5
OUT004,LOUT004-0007,2026-05-09,P004,Vintage Salad,Salad,2,4.85,9.70,0.00,
OUT004,LOUT004-0008,2026-05-24,P004,Vintage Salad,Salad,2,4.85,9.70,1.45,PROMO5
OUT004,LOUT004-0009,2026-05-08,P001,Retro Burger,Burger,3,5.95,17.85,1.79,PROMO10
OUT004,LOUT004-0010,2026-05-16,P004,Vintage Salad,Salad,1,4.85,4.85,0.00,
OUT004,LOUT004-0011,2026-05-17,P001,Retro Burger,Burger,2,5.95,11.90,1.19,PROMO10
OUT004,LOUT004-0012,2026-05-27,P003,Tea Room Shake,Beverage,4,3.15,12.60,0.00,
OUT004,LOUT004-0013,2026-05-20,P001,Retro Burger,Burger,4,5.95,23.80,0.00,
OUT004,LOUT004-0014,2026-05-07,P004,Vintage Salad,Salad,1,4.85,4.85,0.48,PROMO10
OUT004,LOUT004-0015,2026-05-09,P003,Tea Room Shake,Beverage,4,3.15,12.60,1.89,PROMO5
OUT004,LOUT004-0016,2026-05-29,P002,Heritage Fries,Sides,3,2.45,7.35,0.00,
OUT004,LOUT004-0017,2026-05-21,P004,Vintage Salad,Salad,2,4.85,9.70,0.00,
OUT004,LOUT004-0018,2026-05-27,P001,Retro Burger,Burger,3,5.95,17.85,8.93,PROMO2FOR1
OUT004,LOUT004-0019,2026-05-15,P004,Vintage Salad,Salad,3,4.85,14.55,7.27,PROMO2FOR1
OUT004,LOUT004-0020,2026-05-27,P002,Heritage Fries,Sides,2,2.45,4.90,2.45,PROMO2FOR1
